BBLCOUNT        1.0         0
0x7fff81e04ad6 3 5 8
0x7fff81dfd700 1 4 13
0x7fff81e04ac6 1 4 7
0x7fff87f5a6fe 1 2 8
0x7fff8d96f6ea 2 3 6
0x7fff8d96f665 2 7 11
0x7fff8d9932ee 22015 1 6
0x7fff8d96f610 1 17 85
0x7fff8d96f596 0 3 15
0x7fff8d96f58a 1 2 12
0x7fff8d96f57a 2 3 16
0x7fff8d9932e2 22015 1 6
0x7fff8d96f560 2 9 26
0x7fff8d96f6c6 2 9 36
0x7fff81e2e57a 1 1 6
0x7fff81dfe089 1 5 27
0x7fff81dfd229 1 21 108
0x7fff81dfd1e3 1 10 70
0x7fff81dfd1c6 1 5 29
0x7fff81dfd197 1 7 47
0x7fff81e241bb 28 8 15
0x7fff8e5fe91e 34 9 17
0x7fff8e5fe6f6 31 4 13
0x7fff8e5fe6eb 34 3 11
0x7fff8e5fe6e1 34 3 10
0x7fff8e5fed58 3 7 11
0x7fff8e5fed4c 3 3 12
0x7fff8e5fed47 3 2 5
0x7fff8e5fe606 3 6 16
0x7fff8e5fe5f1 3 5 21
0x7fff8e5fe5dc 0 7 21
0x7fff8e5fe5d7 0 2 5
0x7fff8e5fe5c9 3 4 14
0x7fff8e5fe5c3 0 2 6
0x7fff8e5fe57e 3 19 69
0x7fff8e5fed39 3 5 14
0x7fff8e5fed2c 3 3 13
0x7fff81e024b5 28 7 13
0x7fff81e024ad 0 1 5
0x7fff81e024a1 28 4 12
0x7fff81e22ec4 28 6 11
0x7fff81e22ea9 28 7 27
0x7fff81e22ea2 28 3 7
0x7fff81e22dee 0 8 39
0x7fff81e22dd0 0 8 30
0x7fff81e22da2 28 15 46
0x7fff81e21fc8 28 3 9
0x7fff81e21fae 28 9 26
0x7fff81e02494 28 3 13
0x7fff81e0247c 28 7 24
0x7fff81e2344c 49 5 11
0x7fff81e02460 28 11 28
0x7fff81e00110 1 4 18
0x7fff81e02c14 28 7 15
0x7fff81e24175 28 3 20
0x7fff81e2416a 28 2 11
0x7fff81e24147 0 5 25
0x7fff81e2413d 28 3 10
0x7fff81e2e68e 56 1 6
0x7fff81e2411a 28 13 35
0x7fff81e02bea 28 8 42
0x7fff81e02bd8 34 7 18
0x7fff81e000d3 1 11 61
0x7fff81e000c1 1 5 18
0x7fff81e26e36 1 7 14
0x7fff88902bd8 10049 2 2
0x7fff88902bc4 124 5 20
0x7fff88902bb3 10125 5 17
0x7fff88902bad 10125 2 6
0x7fff88902b9d 52 6 16
0x7fff88902b97 10177 2 6
0x7fff8e5fed28 0 2 4
0x7fff8e5fed1c 3 3 12
0x7fff8e5fed0f 3 3 13
0x7fff8e5fed02 3 3 13
0x7fff8e5fece3 34 12 31
0x7fff8e5fe6ba 34 14 39
0x7fff8e5fe6ae 34 3 12
0x7fff81e2e640 28 1 6
0x7fff81e241af 28 2 12
0x7fff81e2419b 28 3 20
0x7fff81e2418f 28 2 12
0x7fff81e02d60 28 8 24
0x7fff81e0b813 28 2 3
0x7fff81e0b80b 0 4 11
0x7fff81e0b7f4 28 8 23
0x7fff81e24189 28 2 6
0x7fff81e2e69a 56 1 6
0x7fff81e00661 1 8 52
0x7fff81e0064f 1 4 18
0x7fff81e00626 1 6 41
